obj,hit,scoop,rake,screw,squeegee,flip
wood_spread_tooth.ply,0.93955296,0.93955296,0.93955296,0.93955296,inf,0.93955296
metal_hair_clip.ply,inf,inf,inf,inf,inf,inf
wood_block_stack.ply,0.9977197,0.9977197,0.9977197,inf,inf,0.9977197
square_plastic.ply,inf,0.99827504,0.99827504,0.99827504,inf,0.99827504
wood_short_midPoint.ply,0.9804536,0.9804536,0.9804536,inf,inf,0.9804536
screwdriver_small.ply,inf,0.9947038,0.9947038,0.9947038,inf,0.9947038
wood_long_midPoint.ply,0.9801869,0.9801869,0.9801869,inf,inf,0.9801869
wood_wheel.ply,0.9970276,0.9970276,0.9970276,inf,inf,0.9970276
plastic_green_square.ply,0.928916,0.928916,0.928916,0.928916,inf,0.928916
red_cylinder_magnetic.ply,inf,0.68986934,0.68986934,0.68986934,inf,0.68986934
square_cardboard.ply,inf,inf,inf,inf,inf,inf
steel_bowl.ply,0.9980743,0.9980743,0.9980743,0.9980743,inf,0.9980743
wooden_screw.ply,0.99431676,0.99431676,0.99431676,inf,inf,0.99431676
wood_foam.ply,inf,inf,inf,inf,inf,inf
hotdog.ply,inf,0.85300404,0.85300404,0.85300404,inf,0.85300404
green_foam.ply,inf,inf,inf,inf,0.73657525,inf
plastic_handle.ply,inf,0.9951132,0.9951132,0.9951132,inf,0.9951132
drill_bit.ply,0.8278583,0.8278583,0.8278583,0.8278583,inf,0.8278583
gelatin_box.ply,inf,inf,inf,inf,0.7367494,inf
plastic_wahl_clippers.ply,inf,inf,inf,inf,0.69358087,inf
foam_triangle.ply,inf,inf,inf,inf,0.80559397,inf
beans_tin.ply,0.97696835,0.97696835,0.97696835,0.97696835,inf,0.97696835
foam_w_hole.ply,inf,inf,inf,inf,0.76566774,inf
metal_square.ply,inf,inf,inf,inf,inf,inf
pliers.ply,inf,inf,inf,inf,0.6272927,inf
circle_spam.ply,inf,0.98327845,0.98327845,0.98327845,inf,0.98327845
foam_roll.ply,inf,0.9430988,0.9430988,0.9430988,inf,0.9430988
plastic_claw.ply,inf,0.6041421,0.6041421,0.6041421,inf,0.6041421
red_foam.ply,inf,inf,inf,inf,0.81903046,inf
wood_long_endPoint.ply,0.9831177,0.9831177,0.9831177,inf,inf,0.9831177
blue_cup.ply,inf,0.928916,inf,inf,0.8625227,inf
plastic_clip.ply,inf,inf,inf,inf,0.67528665,inf
red_bowl.ply,inf,0.9994079,0.9994079,0.9994079,inf,0.9994079
wood_L_shape.ply,0.9745764,0.9745764,0.9745764,inf,inf,0.9745764
tongs.ply,0.9547263,0.9547263,0.9547263,0.9547263,inf,0.9547263
foam_plate.ply,inf,inf,inf,inf,inf,inf
disc_small.ply,0.976264,0.976264,0.976264,0.976264,inf,0.976264
white_bread.ply,inf,0.99948066,0.99948066,0.99948066,inf,0.99948066
circle_wood.ply,0.93955296,0.93955296,0.93955296,0.93955296,inf,0.93955296
popcorn.ply,inf,0.71227664,0.71227664,0.71227664,inf,0.71227664
square_wood.ply,0.948243,0.948243,0.948243,0.948243,inf,0.948243
steel_bowl_small.ply,0.9984723,0.9984723,0.9984723,0.9984723,inf,0.9984723
disc.ply,0.928916,0.928916,0.928916,0.928916,inf,0.928916
fries.ply,inf,inf,inf,inf,0.69706804,inf
pizza.ply,inf,inf,inf,inf,0.96262455,inf
yellow_foam.ply,inf,inf,inf,inf,0.7660017,inf
red_flat_piece_2mag.ply,inf,0.698384,0.698384,0.698384,inf,0.698384
tuna_can.ply,0.52246916,0.52246916,0.52246916,0.52246916,inf,0.52246916
purple_block.ply,inf,inf,inf,inf,inf,inf
fork.ply,0.9776309,0.9776309,0.9776309,0.9776309,inf,0.9776309
gripper_sleeve.ply,inf,inf,inf,inf,0.5560853,inf
wood_comb.ply,0.93955296,0.93955296,0.93955296,0.93955296,inf,0.93955296
red_flat_piece_1mag.ply,inf,0.7401635,0.7401635,0.7401635,inf,0.7401635
metal_triangle.ply,inf,inf,inf,inf,inf,inf
screwdriver_large.ply,inf,0.99466926,0.99466926,0.99466926,inf,0.99466926
coin.ply,0.94107205,0.94107205,0.94107205,0.94107205,inf,0.94107205
donut.ply,inf,0.9345226,0.9345226,0.9345226,inf,0.9345226
purple_foam.ply,inf,inf,inf,inf,0.9937809,inf
